FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2001,14.6,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2002,14.7,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2003,13.8,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2005,13.1,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2006,13.3,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2007,13.2,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2008,13.3,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2009,13,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2010,12.7,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2011,12.8,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2012,12.7,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2013,12.1,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2014,12.1,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2015,11.6,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2016,11.5,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2017,11.5,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2018,11.1,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2019,11.1,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2020,10.9,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2021,11,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2022,11,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2023,11,,
A,Annuale,IT,Italia,AV14_FUMO_SIGAR,Numero medio di sigarette al giorno (persone di 14 anni e più),HSC,Per 100 persone con le stesse caratteristiche,2024,10.9,,
