FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y14-17,14-17 anni,2023,121,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y14-17,14-17 anni,2024,149,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y18-19,18-19 anni,2023,214,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y18-19,18-19 anni,2024,224,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y20-24,20-24 anni,2023,733,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y20-24,20-24 anni,2024,768,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-34,25-34 anni,2023,1653,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-34,25-34 anni,2024,1595,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y35-44,35-44 anni,2023,1766,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y35-44,35-44 anni,2024,1895,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-54,45-54 anni,2023,2171,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-54,45-54 anni,2024,2175,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y55-59,55-59 anni,2023,1029,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y55-59,55-59 anni,2024,1014,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y60-64,60-64 anni,2023,811,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y60-64,60-64 anni,2024,897,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y65-74,65-74 anni,2023,1082,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y65-74,65-74 anni,2024,1068,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE75,75 anni e più,2023,391,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE75,75 anni e più,2024,493,,
