"FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell""'osservazione'"
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2001,7306,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2002,7270,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2003,7370,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2004,7028,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2005,6870,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2006,7038,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2007,6933,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2008,7076,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2009,7368,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2010,7324,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2011,7063,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2012,6929,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2013,6632,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2014,6230,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2015,6238,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2016,6305,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2017,6302,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2018,5924,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2019,5711,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2020,5654,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2021,5801,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2022,5968,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2023,5791,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,2024,5870,,
