FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2001,42,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2002,38,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2003,39,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2005,38,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2006,49,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2007,38,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2008,54,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2009,23,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2010,45,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2011,47,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2012,33,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2013,40,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2014,25,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2015,44,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2016,26,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2017,40,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2018,33,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2019,26,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2020,31,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2021,30,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2022,28,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2023,32,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2024,27,,
A,Annuale,14_FUMO_EX,Persone di 14 anni e più per abitudine al fumo: ex fumatori,THV,Valori in migliaia,1,Maschi,Y18-19,18-19 anni,2001,35,,
